2021-07-23 15:37:53.463 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1647 ms
2021-07-23 15:37:54.121 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-07-23 15:37:54.462 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-07-23 15:37:54.481 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-07-23 15:37:54.506 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-07-23 15:37:54.537 INFO  com.zestfulYoghurt.zy.ZyApplication - Started ZyApplication in 3.253 seconds (JVM running for 5.302)
2021-07-23 15:38:02.337 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-07-23 15:38:02.337 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-07-23 15:38:02.344 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2021-07-23 15:38:05.858 INFO  c.z.zy.controllers.login.loginController - null
2021-07-23 15:38:53.797 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-07-23 15:39:06.478 INFO  com.zestfulYoghurt.zy.ZyApplication - Starting ZyApplication on zhangyi with PID 15024 (H:\AngularDemo\03_製造\web-app-serve\target\classes started by 860120017 in H:\AngularDemo\03_製造\web-app-serve)
2021-07-23 15:39:06.480 INFO  com.zestfulYoghurt.zy.ZyApplication - No active profile set, falling back to default profiles: default
2021-07-23 15:39:06.528 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-07-23 15:39:06.528 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-07-23 15:39:07.263 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfiguration' of type [com.zestfulYoghurt.zy.configuration.shiroConfiguration$$EnhancerBySpringCGLIB$$8192183b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-23 15:39:07.536 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'Logger' of type [ch.qos.logback.classic.Logger] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-23 15:39:07.537 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'myShiroRealm' of type [com.zestfulYoghurt.zy.shiro.loginRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-23 15:39:07.539 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-23 15:39:07.569 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-23 15:39:07.795 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-07-23 15:39:07.802 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-07-23 15:39:07.803 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-23 15:39:07.803 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2021-07-23 15:39:07.901 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-23 15:39:07.901 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1373 ms
2021-07-23 15:39:08.389 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-07-23 15:39:08.651 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-07-23 15:39:08.668 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-07-23 15:39:08.686 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-07-23 15:39:08.708 INFO  com.zestfulYoghurt.zy.ZyApplication - Started ZyApplication in 2.627 seconds (JVM running for 3.416)
2021-07-23 15:39:16.175 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
